Name,Population density(/km2),Area(km2),Population
Malta,1505.0,316.0,475701
Netherlands,521.0,33481.0,17424978
Belgium,376.0,30689.0,11515793
United Kingdom,272.0,242495.0,66040229
Luxembourg,233.0,2586.0,602005
Germany,232.0,357168.0,82887000
Italy,200.0,301338.0,60404355
Denmark,135.0,42931.0,5806015
Czechia,135.0,78866.0,10625449
Cyprus,126.0,9251.0,1170125
Poland,123.0,312679.0,38433600
France,118.0,551695.0,65167000
Portugal,112.0,92212.0,10291027
Slovakia,111.0,49035.0,5445087
Austria,106.0,83879.0,8857960
Hungary,105.0,93030.0,9778371
Slovenia,102.0,20273.0,2070050
Spain,92.0,505990.0,46659302
Romania,82.0,238397.0,19523621
Greece,82.0,131957.0,10768193
Croatia,73.0,56594.0,4105493
Ireland,69.0,70273.0,4857000
Bulgaria,64.0,110994.0,7050034
Lithuania,43.0,65300.0,2795674
Latvia,30.0,64589.0,1921800
Estonia,29.0,45227.0,1319133
Sweden,23.0,450295.0,10215250
Finland,16.0,338424.0,5521533
